upstream_sha	date	subject	bucket	disposition	rayn_sha	invariant	evidence	reviewer	campaign
06208e8ef3bdbdb8bfa9e5b8b46beb2b53d98eb6	2026-04-22	fix(v2/hcore): prevent panic in StartService when HiddifyOptions is nil	HOT	ALREADY			E1: hunk is byte-identical to fork commit 3efb1f0, already at v2/hcore/start.go:99-107. Upstream and fork add the same nil guard and the same errors import.	claude	2026-08
b6c85f4b3f8b1578df6dee27177e1dd910b8a268	2026-04-21	fix: correct fmt usage and formatting issues	CLEAN	TAKE	0e517f878bee02b486c303212098d33e9cb741f5		E1: merge base a82d2b8f and custom-main byte-identical at all 3 lines. E3: unblocks K1 - go vet stopped v2/hcore/tunnelservice building under test. Sprint->Sprintf; latent since grpc.Dial is lazy and no RPC is issued.	claude	2026-08
0bb2e8eb052c8d69cf2190a7baa49fdc64bdfe98	2026-05-01	new: add ezytel gRPC service for Telegram public-channel viewer	SPLIT	REJECT-DEAD			7 of 8 paths are v2/ezytel/**, which this fork has never had - it branched at a82d2b8f, before upstream merged ezytel. The one surviving path, v2/hcore/grpc_server.go, changes only to register that service. A Telegram public-channel viewer on the loopback gRPC surface, with no product feature behind it.	claude	2026-08
c203bc11c0ce66114a715daf5fba2b5927e20d33	2026-05-04	feat(v2/ezytel): inline images as base64 data URIs by default	DEAD	REJECT-DEAD			All 4 paths under v2/ezytel/**. Builds on 0bb2e8e.	claude	2026-08
9d54465c0c6766931019fe584c0bf9a1f24e8d02	2026-05-06	fix(config): update clash2singbox and parse Clash first	CLEAN	DEFER			E3: the headline (parse Clash before V2Ray) is moot here - fork commit 9a5601d deleted the V2Ray branch entirely, see DESIGN-INVARIANTS.md#no-v2ray-parser. Real substance is a BREAKING clash2singbox API change: Clash2sing gains a model arg and an endpoints return, Patch gains endpoints. Inseparable from cbc5df6. TRIGGER: a Clash-format subscription is ever served - the MW issues sing-box JSON, so the Clash branch is currently unexercised. OWNER: user.	claude	2026-08
cbc5df601e35ef9445924c5e1817d29aa374783d	2026-05-07	chore(deps): use clash2singbox v0.2.0	CLEAN	DEFER			go.mod/go.sum only. Provides the API that 9d54465 consumes; taking either alone breaks the build. TRIGGER: same as 9d54465. OWNER: user.	claude	2026-08
9b0342f9f2a9ca3b5dfd04e356a971f130b67881	2026-05-31	add health check, speedtest and vlessenc	SPLIT	DEFER			CORRECTED 2026-08-02 after attempting the bump. c5d6178b and 9b0342f are NOT a one-way gate as this ledger first recorded - they are a CYCLE and cannot land separately. Evidence, from actually applying c5d6178b: (a) go mod tidy fails because the new sing-box go.mod requires github.com/kianmhz/GooseRelayVPN at a revision that exists only in hiddify/GooseRelayVPN, and its replace directive is ignored because replace only applies in the MAIN module - the needed replace lives in go.mod and was added upstream by 9b0342f, not by c5d6178b; (b) sing-box/common/conntrack is deleted in the new pin and v2/hcore/commands.go:13 imports it - the fix is also in 9b0342f. Conversely 9b0342f cannot build against the OLD pin (WireGuardWARPEndpointOptions, TLSFragmentOptions). SCOPE: 396 sing-box commits, option/ alone +1847/-622 across 43 files. Also silently drops message.ConnectionsOut, which 9b0342f comments out along with the conntrack import. TRIGGER: one combined slice - both commits, go mod tidy, golden-config diff reviewed, then native rebuild AND manual connect test on Windows and Android, which is the part that cannot be automated here. OWNER: user. || PRIOR EVIDENCE: E3: subject undersells it. The v2/config changes are sing-box API migrations, not features: WireGuardWARPEndpointOptions -> WARPEndpointOptions, TLSFragmentOptions commented out, the rcode DNS server type removed. The PINNED sing-box 3a1c923e still declares the old names (option/wireguard.go:38, option/fragment.go:7), so this CANNOT COMPILE against the current pin. Fork impact of the rcode removal is nil: the only rcode:// call site (dns.go:111) is already commented out. TRIGGER: c5d6178b sing-box bump lands. OWNER: user.	claude	2026-08
f2034de743b1ad775dba026f4e6e3c44cf7d9790	2026-06-01	add ezytel cmd	SPLIT	REJECT-DEAD			cmd/cmd_ezytel.go imports v2/ezytel, which does not exist here. go.mod/go.sum are the only other paths.	claude	2026-08
2b5f099b36dba545fd1b177990f76b7106280239	2026-06-09	feat: add GetLANIP RPC method and LANIPResponse message	SPLIT	DEFER			E3: no consumer. GetLANIP reports the device LAN address so a client can show a share-this-VPN URL; this fork hardcodes allowConnectionFromLan false and the LAN-sharing UI is deleted. Also adds a top-level dependency, github.com/wlynxg/anet. Mechanically it would apply cleanly - the fork has touched neither hcore.proto nor hcore_service.proto - and would then need Go and Dart protobuf regeneration. TRIGGER: LAN sharing is ever exposed in the product. OWNER: user.	claude	2026-08
c5d6178b6cd60b3390121d865c84a312ce882f92	2026-07-05	chore: bump hiddify-sing-box to testing-merge-base (170d8315)	CLEAN	DEFER			CORRECTED 2026-08-02 after attempting the bump. c5d6178b and 9b0342f are NOT a one-way gate as this ledger first recorded - they are a CYCLE and cannot land separately. Evidence, from actually applying c5d6178b: (a) go mod tidy fails because the new sing-box go.mod requires github.com/kianmhz/GooseRelayVPN at a revision that exists only in hiddify/GooseRelayVPN, and its replace directive is ignored because replace only applies in the MAIN module - the needed replace lives in go.mod and was added upstream by 9b0342f, not by c5d6178b; (b) sing-box/common/conntrack is deleted in the new pin and v2/hcore/commands.go:13 imports it - the fix is also in 9b0342f. Conversely 9b0342f cannot build against the OLD pin (WireGuardWARPEndpointOptions, TLSFragmentOptions). SCOPE: 396 sing-box commits, option/ alone +1847/-622 across 43 files. Also silently drops message.ConnectionsOut, which 9b0342f comments out along with the conntrack import. TRIGGER: one combined slice - both commits, go mod tidy, golden-config diff reviewed, then native rebuild AND manual connect test on Windows and Android, which is the part that cannot be automated here. OWNER: user. || PRIOR EVIDENCE: E3: bumps hiddify-sing-box 3a1c923e -> 170d8315, the security and bugfix stream for the actual proxy engine. Gitlink merges clean - the fork has never moved the pointer. GATES 9b0342f. Highest-risk item in the campaign: v2/config/builder.go (1467 LOC) and dns.go compile against the option.* structs it changes, and Makefile:13 reads CRONET_GO_VERSION from the submodule. TRIGGER: scheduled as slice S1.6, its own commit with a go/no-go - full native rebuild per platform, golden-config diff, manual connect test. OWNER: user.	claude	2026-08
